+
1 15
5 1 52
2 1 53
4 1 54
2 1 55
5 1 56
+
1 2
1 2 0
1 2 1
1 2 2
1 1 3
1 2 4
1 1 5
1 1 6
1 1 7
1 1 8
1 2 9
1 2 10
1 2 11
1 1 12
1 1 13
1 2 14
1 1 15
1 1 16
1 1 17
1 1 18
1 2 19
1 1 20
1 2 21
1 2 22
1 1 23
1 2 24
1 1 25
1 1 26
1 2 27
1 2 28
1 1 29
1 2 30
1 2 31
1 1 32
1 1 33
1 2 34
1 1 35
1 2 36
1 1 37
1 1 38
1 1 39
1 1 40
+
15 14
15 2 0
1 12 1
10 1 2
6 1 3
1 7 4
5 12 5
15 5 6
1 7 7
9 1 8
7 7 9
4 11 10
11 2 11
12 8 12
12 7 13
1 12 14
13 12 15
8 4 16
5 8 17
4 7 18
10 13 19
15 8 20
8 9 21
9 12 22
2 6 23
7 3 24
5 5 25
11 11 26
8 10 27
5 7 28
13 11 29
4 11 30
6 2 31
1 3 32
6 12 33
15 5 34
10 5 35
14 13 36
15 6 37
7 5 38
11 9 39
6 6 40
4 13 41
10 2 42
1 11 43
14 7 44
4 2 45
10 7 46
15 2 47
3 1 48
2 13 49
4 7 50
12 6 51
14 9 52
3 10 53
9 8 54
14 4 55
6 10 56
10 13 57
6 12 58
5 2 59
6 2 60
+
4 16
4 6 0
1 1 1
4 15 2
4 12 3
2 10 4
3 11 5
4 2 6
2 5 7
3 7 8
2 12 9
1 4 10
4 5 11
1 13 12
1 9 13
3 10 14
2 5 15
4 12 16
2 12 17
2 1 18
1 5 19
3 15 20
4 10 21
3 15 22
1 9 23
3 13 24
4 6 25
3 6 26
3 13 27
3 15 28
3 8 29
1 9 30
1 7 31
4 16 32
3 10 33
2 2 34
4 14 35
4 5 36
4 1 37
4 3 38
2 10 39
1 16 40
+
1 6
1 6 0
1 5 1
1 5 2
1 4 3
1 6 4
1 3 5
1 4 6
1 1 7
1 4 8
1 4 9
1 3 10
1 6 11
1 6 12
1 5 13
1 4 14
1 6 15
1 4 16
1 4 17
1 3 18
1 4 19
1 1 20
1 4 21
1 1 22
1 1 23
1 1 24
1 2 25
1 3 26
1 2 27
1 2 28
1 4 29
1 2 30
1 6 31
1 4 32
1 3 33
1 6 34
1 4 35
1 1 36
1 5 37
1 3 38
1 2 39
1 3 40
1 2 41
1 4 42
1 6 43
1 3 44
1 5 45
1 2 46
1 3 47
1 2 48
1 2 49
1 1 50
1 2 51
1 4 52
1 2 53
1 6 54
1 2 55
1 6 56
1 3 57
1 6 58
1 4 59
1 4 60
1 3 61
1 1 62
1 2 63
1 5 64
1 1 65
1 2 66
1 4 67
1 6 68
1 6 69
1 5 70
1 3 71
1 2 72
1 3 73
1 4 74
1 1 75
1 4 76
1 1 77
1 4 78
1 3 79
1 3 80
1 6 81
1 6 82
1 5 83
1 2 84
1 3 85
1 6 86
1 6 87
1 5 88
1 6 89
1 4 90
1 1 91
1 6 92
1 5 93
1 1 94
1 5 95
1 1 96
1 1 97
1 4 98
+
20 17
20 12 0
14 1 1
13 17 2
14 1 3
2 8 4
6 8 5
16 9 6
20 13 7
12 9 8
13 11 9
8 4 10
3 14 11
5 2 12
17 17 13
17 13 14
2 9 15
8 17 16
8 1 17
8 2 18
7 2 19
14 10 20
4 6 21
1 7 22
12 2 23
3 14 24
19 15 25
7 16 26
16 11 27
13 3 28
20 14 29
13 1 30
13 6 31
14 13 32
13 3 33
9 15 34
12 2 35
1 6 36
9 9 37
9 2 38
1 13 39
6 17 40
15 2 41
18 11 42
12 6 43
20 13 44
14 12 45
4 11 46
16 3 47
9 6 48
17 16 49
10 4 50
5 17 51
14 16 52
3 7 53
16 10 54
15 4 55
6 6 56
19 11 57
14 17 58
16 16 59
11 13 60
4 6 61
16 5 62
12 15 63
11 11 64
6 12 65
11 3 66
+
2 8
1 6 0
1 5 1
1 4 2
1 1 3
1 1 4
2 7 5
2 8 6
1 7 7
2 4 8
2 8 9
2 2 10
1 5 11
1 6 12
2 1 13
2 5 14
2 2 15
2 8 16
1 7 17
1 4 18
1 1 19
2 6 20
2 4 21
1 6 22
2 1 23
2 4 24
1 2 25
2 2 26
2 3 27
1 7 28
1 6 29
1 1 30
2 7 31
2 2 32
1 8 33
1 2 34
1 6 35
1 8 36
2 6 37
2 3 38
2 5 39
1 2 40
2 5 41
+
3 15
1 9 0
2 12 1
3 11 2
3 13 3
3 4 4
3 11 5
1 11 6
2 6 7
1 15 8
3 9 9
1 7 10
2 7 11
3 6 12
2 3 13
3 15 14
3 9 15
1 2 16
1 1 17
1 2 18
2 9 19
3 5 20
1 4 21
1 4 22
3 2 23
3 2 24
1 4 25
3 11 26
3 6 27
2 9 28
1 8 29
2 2 30
1 10 31
3 6 32
2 7 33
3 13 34
1 7 35
1 15 36
1 1 37
1 11 38
2 14 39
2 14 40
3 6 41
3 6 42
3 13 43
1 3 44
2 5 45
3 8 46
1 11 47
2 9 48
2 7 49
3 9 50
2 3 51
1 14 52
2 11 53
2 7 54
1 4 55
3 9 56
2 13 57
3 13 58
1 9 59
3 5 60
1 7 61
1 3 62
2 10 63
2 6 64
1 3 65
3 7 66
3 7 67
3 3 68
2 2 69
3 2 70
1 14 71
2 11 72
1 10 73
1 5 74
1 10 75
2 7 76
2 14 77
1 10 78
1 5 79
3 15 80
2 11 81
1 8 82
3 9 83
1 6 84
3 2 85
+
2 1
2 1 0
2 1 1
2 1 2
2 1 3
2 1 4
1 1 5
1 1 6
2 1 7
1 1 8
2 1 9
2 1 10
2 1 11
2 1 12
2 1 13
1 1 14
1 1 15
1 1 16
2 1 17
1 1 18
2 1 19
2 1 20
2 1 21
1 1 22
1 1 23
1 1 24
2 1 25
1 1 26
2 1 27
1 1 28
+
18 7
15 1 0
18 5 1
4 2 2
17 4 3
9 2 4
13 6 5
15 6 6
10 3 7
17 2 8
8 1 9
4 7 10
11 1 11
11 5 12
17 3 13
14 2 14
2 4 15
9 7 16
8 5 17
8 2 18
14 7 19
4 7 20
18 2 21
10 5 22
8 3 23
18 2 24
15 7 25
6 2 26
16 2 27
17 2 28
13 2 29
13 2 30
4 2 31
9 6 32
6 3 33
4 5 34
3 1 35
15 3 36
14 1 37
16 7 38
5 5 39
6 2 40
4 6 41
3 5 42
4 4 43
2 5 44
6 7 45
17 7 46
14 3 47
13 7 48
12 5 49
18 1 50
16 1 51
16 3 52
9 6 53
5 4 54
12 4 55
+
19 2
17 2 0
19 1 1
10 1 2
7 1 3
1 1 4
8 1 5
10 2 6
3 2 7
7 2 8
3 2 9
6 2 10
13 1 11
7 1 12
8 2 13
3 1 14
11 1 15
17 2 16
11 1 17
14 1 18
14 1 19
12 2 20
15 2 21
14 1 22
6 1 23
13 1 24
15 2 25
7 2 26
19 2 27
13 2 28
3 2 29
19 2 30
10 2 31
17 1 32
4 2 33
16 2 34
10 2 35
11 2 36
4 1 37
6 1 38
11 2 39
1 2 40
3 1 41
3 1 42
14 1 43
3 2 44
8 2 45
10 2 46
15 2 47
1 2 48
1 1 49
18 1 50
10 1 51
2 1 52
18 2 53
13 2 54
12 2 55
19 1 56
13 1 57
3 2 58
13 2 59
17 2 60
7 1 61
2 1 62
15 2 63
2 1 64
18 1 65
3 1 66
17 2 67
13 1 68
4 1 69
4 2 70
15 2 71
18 2 72
2 1 73
6 1 74
11 1 75
4 1 76
11 2 77
12 2 78
8 1 79
6 2 80
14 2 81
5 1 82
19 1 83
13 1 84
11 1 85
18 1 86
8 2 87
4 1 88
19 1 89
15 2 90
2 2 91
10 2 92
15 1 93
19 1 94
19 2 95
13 1 96
16 1 97
+
20 11
16 4 0
16 11 1
11 9 2
2 11 3
3 9 4
6 5 5
3 3 6
8 8 7
8 3 8
12 8 9
4 2 10
10 11 11
8 7 12
6 5 13
5 1 14
3 2 15
6 6 16
16 3 17
19 11 18
13 3 19
16 9 20
1 6 21
14 3 22
16 10 23
8 10 24
1 7 25
5 11 26
13 6 27
1 8 28
15 8 29
14 5 30
4 6 31
11 7 32
8 10 33
7 9 34
5 11 35
19 5 36
11 8 37
19 10 38
13 2 39
17 6 40
10 2 41
15 5 42
7 9 43
18 2 44
17 7 45
10 5 46
3 4 47
16 1 48
8 10 49
10 1 50
12 2 51
14 5 52
12 8 53
7 8 54
18 4 55
+
7 11
5 3 0
2 9 1
2 1 2
5 9 3
7 6 4
5 11 5
1 8 6
4 3 7
7 2 8
5 9 9
7 9 10
6 1 11
6 1 12
5 6 13
5 4 14
5 3 15
4 6 16
7 7 17
6 2 18
7 3 19
6 1 20
2 11 21
3 3 22
1 2 23
5 2 24
1 2 25
5 1 26
7 8 27
4 8 28
5 1 29
4 11 30
4 3 31
3 9 32
7 11 33
5 3 34
5 1 35
6 2 36
1 10 37
2 11 38
1 8 39
2 2 40
2 10 41
2 7 42
1 1 43
3 4 44
7 2 45
6 5 46
3 7 47
4 7 48
4 9 49
3 3 50
4 3 51
6 11 52
6 11 53
1 7 54
6 4 55
1 2 56
7 11 57
7 9 58
7 3 59
6 10 60
7 1 61
4 9 62
5 9 63
6 9 64
2 2 65
3 7 66
1 11 67
6 11 68
2 5 69
6 2 70
4 9 71
3 6 72
4 7 73
7 5 74
7 2 75
7 8 76
4 7 77
7 6 78
5 3 79
4 1 80
2 6 81
4 6 82
1 1 83
1 6 84
6 7 85
1 10 86
2 9 87
2 3 88
1 6 89
7 10 90
7 2 91
3 10 92
+
7 15
6 8 0
4 15 1
7 10 2
7 6 3
7 9 4
5 6 5
7 14 6
2 14 7
1 13 8
7 5 9
4 2 10
5 7 11
2 14 12
3 3 13
3 2 14
5 9 15
6 8 16
1 11 17
5 11 18
4 11 19
1 10 20
1 8 21
1 7 22
2 2 23
1 9 24
2 5 25
2 15 26
5 14 27
6 9 28
1 12 29
3 9 30
6 12 31
7 11 32
4 6 33
+
10 9
5 5 0
5 9 1
10 3 2
+
11 12
10 7 0
10 5 1
2 4 2
7 5 3
9 5 4
5 6 5
5 10 6
+
18 14
12 8 0
8 12 1
2 11 2
15 13 3
11 1 4
3 1 5
16 6 6
6 7 7
2 3 8
18 9 9
9 10 10
2 11 11
5 5 12
3 4 13
16 5 14
13 1 15
6 9 16
12 3 17
18 14 18
9 13 19
17 14 20
10 11 21
10 9 22
12 2 23
+
1 2
1 1 0
1 2 1
1 2 2
1 2 3
1 2 4
1 1 5
1 1 6
1 2 7
1 1 8
1 2 9
1 1 10
1 2 11
1 2 12
1 1 13
1 1 14
1 1 15
1 1 16
1 1 17
1 1 18
1 1 19
1 1 20
1 1 21
1 2 22
1 1 23
1 2 24
1 1 25
1 2 26
1 2 27
1 1 28
1 1 29
1 1 30
1 2 31
1 2 32
1 1 33
1 1 34
1 2 35
1 2 36
1 1 37
1 1 38
1 2 39
1 2 40
1 1 41
1 1 42
1 2 43
1 2 44
1 1 45
1 2 46
1 1 47
1 2 48
1 1 49
1 1 50
1 1 51
1 2 52
1 1 53
1 1 54
1 1 55
1 2 56
1 2 57
1 1 58
1 1 59
1 1 60
1 1 61
1 1 62
1 1 63
1 1 64
1 1 65
1 1 66
1 2 67
1 2 68
1 2 69
1 2 70
1 1 71
1 1 72
1 2 73
1 2 74
1 1 75
1 2 76
1 2 77
1 1 78
1 1 79
1 1 80
1 1 81
1 2 82
1 2 83
1 2 84
1 2 85
1 1 86
1 2 87
1 2 88
1 1 89
1 2 90
1 1 91
1 1 92
1 1 93
1 1 94
+
13 16
5 6 0
12 3 1
+
3 19
2 1 0
1 2 1
2 14 2
3 1 3
2 1 4
2 16 5
2 17 6
2 13 7
3 16 8
2 2 9
3 15 10
2 8 11
3 4 12
3 2 13
3 6 14
3 15 15
2 8 16
2 14 17
1 11 18
3 14 19
2 18 20
2 3 21
1 10 22
3 1 23
1 14 24
3 7 25
2 16 26
3 14 27
3 4 28
2 1 29
3 6 30
3 14 31
1 18 32
1 11 33
1 6 34
2 5 35
2 9 36
2 8 37
2 11 38
3 19 39
1 9 40
3 16 41
2 13 42
1 1 43
2 7 44
2 13 45
3 15 46
3 16 47
3 16 48
3 7 49
1 12 50
1 8 51
1 6 52
1 10 53
3 16 54
3 12 55
3 10 56
3 6 57
1 5 58
1 5 59
3 1 60
1 19 61
3 9 62
2 16 63
1 5 64
3 8 65
3 6 66
2 16 67
2 1 68
1 1 69
1 17 70
1 6 71
2 4 72
2 17 73
2 16 74
3 7 75
2 9 76
3 6 77
2 16 78
2 4 79
2 7 80
1 9 81
3 15 82
2 13 83
1 15 84
3 2 85
1 8 86
2 13 87
2 8 88
+
5 9
4 3 0
3 1 1
3 7 2
5 3 3
2 5 4
1 9 5
1 5 6
3 3 7
1 8 8
3 4 9
3 4 10
1 9 11
1 3 12
4 6 13
5 8 14
2 1 15
4 2 16
4 2 17
3 1 18
1 8 19
1 1 20
5 9 21
5 7 22
4 8 23
3 7 24
1 1 25
4 9 26
5 5 27
3 5 28
2 4 29
3 6 30
2 3 31
3 6 32
2 1 33
2 9 34
5 7 35
2 9 36
2 6 37
5 5 38
2 4 39
1 5 40
4 9 41
3 2 42
5 3 43
3 8 44
1 4 45
1 3 46
4 4 47
5 5 48
4 2 49
1 8 50
1 5 51
3 9 52
4 5 53
